"행정구역","2017년_총인구수","2017년_세대수","2017년_세대당 인구","2017년_남자 인구수","2017년_여자 인구수","2017년_남여 비율","2018년_총인구수","2018년_세대수","2018년_세대당 인구","2018년_남자 인구수","2018년_여자 인구수","2018년_남여 비율","2019년_총인구수","2019년_세대수","2019년_세대당 인구","2019년_남자 인구수","2019년_여자 인구수","2019년_남여 비율","2020년_총인구수","2020년_세대수","2020년_세대당 인구","2020년_남자 인구수","2020년_여자 인구수","2020년_남여 비율","2021년_총인구수","2021년_세대수","2021년_세대당 인구","2021년_남자 인구수","2021년_여자 인구수","2021년_남여 비율","2022년_총인구수","2022년_세대수","2022년_세대당 인구","2022년_남자 인구수","2022년_여자 인구수","2022년_남여 비율","2023년_총인구수","2023년_세대수","2023년_세대당 인구","2023년_남자 인구수","2023년_여자 인구수","2023년_남여 비율","2024년_총인구수","2024년_세대수","2024년_세대당 인구","2024년_남자 인구수","2024년_여자 인구수","2024년_남여 비율"
"경기도 경기도 남양주시 (4136000000)","665,321","255,594","          2.60","332,152","333,169","          1.00","681,828","264,488","          2.58","340,030","341,798","          0.99","701,830","276,656","          2.54","349,664","352,166","          0.99","713,321","285,334","          2.50","355,197","358,124","          0.99","733,798","299,156","          2.45","365,103","368,695","          0.99","737,353","304,288","          2.42","366,261","371,092","          0.99","732,265","304,768","          2.40","363,190","369,075","          0.98","732,482","307,424","          2.38","362,652","369,830","          0.98"
"경기도 남양주시 와부읍(4136025000)","68,546","25,027","          2.74","33,828","34,718","          0.97","66,534","24,579","          2.71","32,777","33,757","          0.97","64,338","24,035","          2.68","31,743","32,595","          0.97","62,502","23,748","          2.63","30,823","31,679","          0.97","60,226","23,199","          2.60","29,681","30,545","          0.97","58,198","22,587","          2.58","28,641","29,557","          0.97","57,586","22,494","          2.56","28,309","29,277","          0.97","58,146","22,891","          2.54","28,532","29,614","          0.96"
"경기도 남양주시 진접읍(4136025300)","95,719","35,675","          2.68","48,369","47,350","          1.02","94,738","36,059","          2.63","47,901","46,837","          1.02","93,893","36,683","          2.56","47,464","46,429","          1.02","93,126","37,023","          2.52","47,002","46,124","          1.02","93,408","37,895","          2.46","47,191","46,217","          1.02","95,986","39,371","          2.44","48,342","47,644","          1.01","96,010","39,698","          2.42","48,273","47,737","          1.01","95,374","39,787","          2.40","47,932","47,442","          1.01"
"경기도 남양주시 화도읍(4136025600)","94,788","37,353","          2.54","47,621","47,167","          1.01","97,970","38,959","          2.51","49,191","48,779","          1.01","101,223","40,927","          2.47","50,772","50,451","          1.01","103,885","42,439","          2.45","52,069","51,816","          1.00","104,016","43,308","          2.40","52,008","52,008","          1.00","65,943","28,661","          2.30","32,872","33,071","          0.99","64,713","28,579","          2.26","32,216","32,497","          0.99","63,839","28,517","          2.24","31,804","32,035","          0.99"
"경기도 남양주시 화도읍동부출장소(4136025700)","12,968","5,518","          2.35","6,653","6,315","          1.05","13,230","5,594","          2.37","6,758","6,472","          1.04","13,510","5,714","          2.36","6,909","6,601","          1.05","14,636","6,115","          2.39","7,421","7,215","          1.03","14,794","6,128","          2.41","7,443","7,351","          1.01","14,321","6,002","          2.39","7,182","7,139","          1.01","13,533","5,743","          2.36","6,813","6,720","          1.01","13,092","5,600","          2.34","6,585","6,507","          1.01"
"경기도 남양주시 화도읍남부출장소(4136025800)","0","0","          0.00","0","0","          0.00","","","","","","","","","","","","","","","","","","","","","","","","","36,583","14,627","          2.50","18,353","18,230","          1.01","35,878","14,412","          2.49","17,956","17,922","          1.00","35,587","14,499","          2.45","17,791","17,796","          1.00"
"경기도 남양주시 진건읍(4136025900)","26,707","11,257","          2.37","13,847","12,860","          1.08","25,845","11,209","          2.31","13,410","12,435","          1.08","24,952","11,097","          2.25","12,996","11,956","          1.09","24,330","11,057","          2.20","12,634","11,696","          1.08","23,505","10,902","          2.16","12,230","11,275","          1.08","22,286","10,471","          2.13","11,577","10,709","          1.08","20,979","9,914","          2.12","10,887","10,092","          1.08","20,236","9,702","          2.09","10,456","9,780","          1.07"
"경기도 남양주시 오남읍(4136026200)","54,937","20,548","          2.67","27,497","27,440","          1.00","54,396","20,812","          2.61","27,233","27,163","          1.00","53,648","20,961","          2.56","26,849","26,799","          1.00","53,618","21,431","          2.50","26,960","26,658","          1.01","53,494","21,911","          2.44","26,872","26,622","          1.01","52,658","21,865","          2.41","26,410","26,248","          1.01","51,729","21,734","          2.38","25,897","25,832","          1.00","51,163","21,721","          2.36","25,523","25,640","          1.00"
"경기도 남양주시 퇴계원읍(4136026500)","0","0","          0.00","0","0","          0.00","","","","","","","30,362","12,208","          2.49","15,115","15,247","          0.99","29,764","12,164","          2.45","14,847","14,917","          1.00","28,863","12,029","          2.40","14,392","14,471","          0.99","28,179","11,828","          2.38","14,013","14,166","          0.99","27,461","11,631","          2.36","13,637","13,824","          0.99","26,960","11,536","          2.34","13,341","13,619","          0.98"
"경기도 남양주시 별내면(4136031000)","20,798","8,267","          2.52","10,392","10,406","          1.00","20,583","8,368","          2.46","10,279","10,304","          1.00","20,115","8,382","          2.40","10,052","10,063","          1.00","19,766","8,491","          2.33","9,893","9,873","          1.00","19,511","8,535","          2.29","9,778","9,733","          1.00","18,959","8,396","          2.26","9,492","9,467","          1.00","18,505","8,265","          2.24","9,238","9,267","          1.00","18,115","8,139","          2.23","9,053","9,062","          1.00"
